,cluster_id,企業名称
0,0,オオバ
538,0,力の源ホールディングス
539,0,フルテック
540,0,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ
541,0,ユーザーローカル
542,0,テモナ
543,0,旅工房
544,0,ビーブレイクシステムズ
545,0,エコモット
546,0,Ｆｒｉｎｇｅ８１
547,0,ツナググループ・ホールディング
548,0,ＧａｍｅＷｉｔｈ
549,0,シェアリングテクノロジー
550,0,ＵＵＵＭ
551,0,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ
552,0,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ
553,0,ウェルビー
554,0,ＳＫＩＹＡＫＩ
555,0,ｇｌｏｂａｌ　ｂｒｉｄｇｅ　Ｈ
556,0,サインポスト
557,0,クックビズ
558,0,一家ダイニングプロジェクト
537,0,ジャパンエレベーターサービスホ
559,0,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ
536,0,ビーグリー
534,0,マクロミル
513,0,コメダホールディングス
514,0,セラク
515,0,インソース
516,0,ベイカレント・コンサルティング
517,0,カナミックネットワーク
518,0,串カツ田中ホールディングス
519,0,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉ
520,0,ノムラシステムコーポレーション
521,0,バリューデザイン
522,0,チェンジ
523,0,シルバーエッグ・テクノロジー
524,0,シンクロ・フード
525,0,キャピタル・アセット・プランニ
526,0,エルテス
527,0,キャリアインデックス
528,0,セグエグループ
529,0,グレイステクノロジー
530,0,エイトレッド
531,0,イノベーション
532,0,ＡＯＩ　ＴＹＯ　Ｈｏｌｄｉｎｇ
533,0,シャノン
535,0,うるる
560,0,すららネット
561,0,ナレッジスイート
562,0,みらいワークス
590,0,チームスピリット
591,0,ａｎｄ　ｆａｃｔｏｒｙ
592,0,テノ．ホールディングス
593,0,イーエムネットジャパン
594,0,フロンティア・マネジメント
595,0,アザース
596,0,くふうカンパニー
597,0,ＣＲＧホールディングス
598,0,ギフト
599,0,ＶＡＬＵＥＮＥＸ
600,0,アルー
601,0,ピアラ
602,0,テクノスデータサイエンス・エン
603,0,Ａｍａｚｉａ
604,0,Ｋｕｄａｎ
605,0,ポート
606,0,ＥｄｕＬａｂ
607,0,ベルトラ
608,0,シノプス
